ME ID	Canonical form
DCM00001	dd:[dat] oude liedje
DCM00002	dd:[dat]  zelfde liedje
DCM00003	iemand zal 'm van jetje geven
DCM00004	iemand zal < makkelijk> in de omgang zijn
DCM00005	iemand zal < veel> ellende over iemand uitstorten
DCM00006	iemand zal < veel> herrie maken
DCM00007	iemand zal *vertrouwen in iets hebben
DCM00008	iemand zal <argumenten> kracht bij zetten
DCM00009	dd:[dat] mes zal aan twee kanten snijden
DCM00010	iemand zal  <er> boven op komen
DCM00011	iemand zal <goed> aangeschreven staan
DCM00012	iemand zal <goed> uit de kluiten gegroeid zijn
DCM00013	iemand zal <goed> uit de kluiten gewassen zijn
DCM00014	iemand zal 0niet voor de kat zijn
DCM00015	iemand zal 0niet voor de poes zijn
DCM00016	<nu> zal de aap uit de mouw komen
DCM00017	iemand zal *invloed op iemand|iets hebben
DCM00018	iemand zal <snel> op de  tenen getrapt zijn
DCM00019	iemand zal <snel> op zijn tenen getrapt zijn
DCM00020	iemand zal <vast> in het zadel zitten
DCM00021	iemand zal <veel> in zijn mars hebben
DCM00022	iemand zal aan boord komen
DCM00023	iemand zal aan de bak komen
DCM00024	iemand zal aan de beurt komen
DCM00025	iemand zal aan de beurt raken
DCM00026	iemand zal aan de beurt zijn
DCM00027	iemand zal aan de boemel zijn
DCM00028	iemand zal aan de draai zijn
DCM00029	iemand zal aan de flep zijn
DCM00030	iemand zal aan de grond zitten
DCM00031	iemand zal aan de haal gaan
DCM00032	iemand zal aan de heidenen overgeleverd zijn
DCM00033	iemand zal aan de Joden overgeleverd zijn
DCM00034	iemand zal aan de kant gaan
DCM00035	iemand zal aan de kant staan
DCM00036	iemand zal aan de leiband lopen
DCM00037	iemand zal aan de lijn trekken
DCM00038	iemand zal aan de naald zijn
DCM00039	iets zal aan de orde van de dag zijn
DCM00040	iemand zal aan de rol gaan
DCM00041	iemand zal aan de rol zijn
DCM00042	iemand zal aan de slag gaan
DCM00043	iets zal aan de strijkstok blijven hangen
DCM00044	iemand zal aan de touwtjes trekken
DCM00045	iemand zal aan de touwtjes zitten
DCM00046	iemand zal aan de wind gaan
DCM00047	iemand zal aan de winnende hand zijn
DCM00048	iemand zal aan de zwier gaan
DCM00049	iemand zal aan dezelfde kar duwen
DCM00050	iets zal aan diggelen zijn
DCM00051	iemand zal aan een dovemansdeur kloppen
DCM00052	iemand zal aan elkaar gewaagd zijn
DCM00053	iemand zal aan elkaar zitten
DCM00054	iemand zal aan het < rekenen> slaan
DCM00055	iemand zal aan het aftellen zijn
DCM00056	iemand zal aan het eind van zijn Latijn zijn
DCM00057	iemand zal aan het goede kantoor zijn
DCM00058	0er zal iets aan het handje zijn
DCM00059	iemand zal aan het juiste adres zijn
DCM00060	iemand zal aan het kortste eind trekken
DCM00061	iemand zal aan het laatje zitten
DCM00062	iemand zal aan het langste eind trekken
DCM00063	iemand zal aan het roer staan
DCM00064	iemand zal aan het roer zijn
DCM00065	iemand zal aan het roer zitten
DCM00066	iemand zal aan het verkeerde kantoor zijn
DCM00067	iemand zal aan het vinketouw zitten
DCM00068	iemand zal aan het werk gaan
DCM00069	iemand zal aan het werk moeten
DCM00070	iemand zal aan het werk willen
DCM00071	iemand zal aan huis gebonden zijn
DCM00072	iemand zal aan iemand 0niet besteed zijn
DCM00073	iemand zal aan iemands kant staan
DCM00074	iemand zal aan iemands stutten trekken
DCM00075	iemand zal aan iets 0geen mouw weten te naaien
DCM00076	iemand zal aan iets 0geen mouw weten te passen
DCM00077	iemand zal aan iets 0geen mouwen weten te naaien
DCM00078	iemand zal aan iets 0geen mouwen weten te passen
DCM00079	iemand zal aan iets goed  doen
DCM00080	iemand zal aan komen wippen
DCM00081	iemand zal aan lagerwal geraken
DCM00082	iemand zal aan lagerwal raken
DCM00083	iemand zal aan lagerwal zijn
DCM00084	iemand zal aan lagerwal zitten
DCM00085	aan mijn lijf 0geen polonaise
DCM00086	iemand zal aan slag zijn
DCM00087	aandeel van de leeuw
DCM00088	aangeboden dienst zal zelden aangenaam zijn
DCM00089	aangenomen werk
DCM00090	iemand zal aanhangen als een klis
DCM00091	iemand zal aanhangen als klissen
DCM00092	iemand zal aanspraak hebben
DCM00093	iemand zal aanspraak op iets hebben
DCM00094	iemand zal aanstalten maken
DCM00095	iemand zal aanstoot aan iemand | iets nemen
DCM00096	iemand zal aanstoot geven
DCM00097	iemand zal aanstoot hebben
DCM00098	iemand zal aanstoot lijden
DCM00099	aanzien zal doen gedenken
DCM00100	aap wat heb je mooie jongen
DCM00101	iemand zal aardig op weg zijn
DCM00102	aardje naar zijn vaartje
DCM00103	iemand zal abracadabra zijn
DCM00104	iemand zal abraham gezien hebben
DCM00107	acht zal meer dan duizend zijn
DCM00108	achter de bank
DCM00109	iemand zal achter de geraniums zitten
DCM00110	iemand zal iets achter de knopen hebben
DCM00111	iemand zal achter de schermen blijven
DCM00112	iemand zal achter het net vissen
DCM00113	iemand zal achter iets komen
DCM00115	iemand zal iemand achterna zitten
DCM00116	iemand zal achterover zitten
DCM00117	iemand zal achteruit deinzen
DCM00118	ad patres
DCM00121	iemand zal advocaat van de duivel spelen
DCM00122	af en toe 
DCM00123	iemand zal afgedaan hebben
DCM00124	afgelikte boterham
DCM00125	iemand zal aftakelen
DCM00126	iemand zal aftands zijn
DCM00130	Aken en Keulen zullen niet op éen dag gebouwd zijn
DCM00131	iemand zal akkoord met iets zijn
DCM00132	akkoord Van der Putten
DCM00133	akkoord Van Putten
DCM00134	akkoord Van Varelen
DCM00135	iemand zal akkoord zijn
DCM00136	iemand zal akte van iets nemen
DCM00137	al doende zal men leren
DCM00138	al draagt een aap een gouden ring het is en blijft een lelijk ding
DCM00139	al +gaat iemand op zijn kop staan
DCM00140	al is de leugen nog zo snel de waarheid  zal haar wel achterhalen
DCM00141	al ons weten zal stukwerk zijn
DCM00142	al te goed zal allemans gek zijn
DCM00143	al te goed zal buurmans gek zijn
DCM00144	al wat de klok slaat
DCM00145	iemand zal al zijn kruit verschoten hebben
DCM00146	iemand zal al zijn pijlen verschoten hebben
DCM00147	iemand zal al zo lang met dat bijltje gehakt hebben
DCM00148	al zouden de raven het uitbrengen
DCM00150	iemand zal alarm blazen
DCM00151	alea iacta est
DCM00154	iemand zal alle aandacht naar zich toe trekken
DCM00155	alle begin zal moeilijk zijn
DCM00156	alle dagen zullen een draadje een hemdsmouw in het jaar zijn
DCM00157	alle goede dingen zullen in drieën bestaan
DCM00158	iemand zal alle harten bij zijn eigen rekenen
DCM00159	alle havens zullen wind schutten
DCM00160	alle hout zal 0geen timmerhout zijn
DCM00161	iemand zal alle kanten op schieten
DCM00162	alle ogen zullen op Kwatta gericht zijn
DCM00163	iemand zal alle zeilen bijzetten
DCM00164	iemand zal alleen zitten
DCM00165	Iets zal allemaal kool zijn
DCM00166	aller ogen zullen op Kwatta gericht zijn
DCM00167	alles kits
DCM00168	iemand zal alles laten lopen
DCM00169	iemand zal alles onder een microscoop leggen
DCM00170	iemand zal alles op één kaart zetten
DCM00171	iemand zal alles op haren en snaren stellen
DCM00172	iemand zal alles op haren en snaren zetten
DCM00173	iemand zal alles slaan
DCM00174	iemand zal alles uit de kast halen
DCM00175	almanak leugenzak
DCM00176	als de berg niet tot Mohammed wil komen dan moet Mohammed naar de berg gaan
DCM00177	iemand zal als de dood  voor iets  zijn
DCM00178	als de ene hand de andere wast zullen ze beide schoon worden
DCM00179	iemand zal als de kat om de hete brij lopen
DCM00180	als de katten muizen dan  zullen ze 0niet mauwen
DCM00181	iemand zal als de kippen er bij zijn
DCM00182	als de maan vol is zal zij overal schijnen
DCM00183	als de nood op het hoogst is zal de redding nabij zijn
DCM00184	als de vos de passie preekt boer pas op je ganzen
DCM00185	als de wiedeweerga
DCM00186	als de wijn is in de man is de wijsheid in de kan
DCM00187	als een bok op de haverkist
DCM00188	als een boom
DCM00189	als een dertientje
DCM00190	als een olifant in de porseleinkast
DCM00191	als één schaap over de dam is zullen 0er  spoedig meer volgen
DCM00192	iemand zal als een tang op een varken slaan
DCM00193	als een tierelier
DCM00194	als het getij verloopt moet men zijn bakens verzetten
DCM00195	als het getij verloopt zal men de baken  verzetten
DCM00196	als het getij verloopt zal men de bakens verzetten
DCM00197	als het kalf verdronken is zal men de put dempen
DCM00198	als het melk regent zullen mijn schotels omgekeerd staan
DCM00199	als het op de een regent zal het op een ander druppen
DCM00200	als het puntje bij het paaltje +komt
DCM00201	als het puntje bij paaltje +komt
DCM00202	als het tij verloopt zal men de baken verzetten
DCM00203	als het tij verloopt zal men de bakens verzetten
DCM00204	iemand zal te boek  als iets staan
DCM00205	als men van de duivel spreekt zal hij nabij zijn
DCM00206	als niet komt tot iet zal  het allemans verdriet zijn
DCM00207	als Pasen en Pinksteren op één dag zullen vallen
DCM00208	als puntje bij het paaltje +komt
DCM00209	als puntje bij paaltje +komt
DCM00210	als twee honden  vechten om een been  zal de derde er mee heen gaan
DCM00211	iemand zal als water en vuur zijn
DCM00212	als zij dit doen aan het groene hout wat aan het dorre zullen geschieden  
DCM00213	iemand zal altijd op hetzelfde aanbeeld hameren
DCM00214	iemand zal altijd op hetzelfde aanbeeld slaan
DCM00217	iets zal andere thee zijn
DCM00222	iemand zal appelen kiezen voor zijn geld
DCM00223	appeltje voor de dorst
DCM00226	iemand zal argwaan krijgen
DCM00228	arme tobias
DCM00229	armoede zal  list zoeken
DCM00230	as zal verbrande turf zijn
DCM00234	iemand zal averij belopen
